values seperated by a comma,
F [Hz], THA [g], Direct [g] 
0.2,0.09026167,0.08951518
0.21147,0.09863056,0.09799456
0.2236,0.10981522,0.10909586
0.23643,0.11992616,0.11948713
0.24999,0.13108603,0.1308551
0.26432,0.1418476,0.1417431
0.27949,0.15224908,0.1511525
0.29552,0.16133131,0.16087204
0.31247,0.16970751,0.16867761
0.33039,0.17516757,0.17485384
0.34934,0.18556138,0.18546098
0.36938,0.19327134,0.19254336
0.39056,0.20501928,0.20448443
0.41296,0.21892463,0.21876716
0.43665,0.22791209,0.22760554
0.46169,0.23463599,0.23411817
0.48818,0.24726538,0.24687353
0.51618,0.2609008,0.26059392
0.54578,0.27410001,0.27312447
0.57709,0.28263579,0.28218817
0.61019,0.29436793,0.29338401
0.64519,0.310395,0.31038661
0.68219,0.32528941,0.32492554
0.72132,0.34109188,0.34093535
0.76269,0.35717126,0.35704007
0.80644,0.37104852,0.37062262
0.85269,0.39920813,0.39870488
0.9016,0.41768999,0.4171488
0.95331,0.43452508,0.43357209
1.00799,0.45119416,0.45020386
1.06581,0.47390412,0.47346215
1.12694,0.4899166,0.48883836
1.19158,0.5205408,0.51956296
1.25992,0.54873184,0.54770387
1.33219,0.58514495,0.58307822
1.4086,0.59784512,0.59769944
1.48939,0.62146126,0.61989506
1.57482,0.65463938,0.65467394
1.66514,0.68356475,0.68247118
1.76065,0.72221393,0.72276018
1.86164,0.76383875,0.76301566
1.96841,0.80357856,0.80476985
2.08132,0.85071625,0.84890375
2.20069,0.86898209,0.87128621
2.32692,0.93589021,0.93782158
2.46038,0.99127931,0.99081015
2.6015,1.00176134,1.00289314
2.75072,0.97978571,0.98313923
2.90849,0.9925386,0.99721637
3.07531,1.01065465,1.01740452
3.2517,1.00372614,1.01103047
3.43821,0.99030335,0.99823627
3.63542,1.02429133,1.0322468
3.84393,1.03678582,1.04990394
4.06441,1.0851641,1.09275803
4.29753,1.07222736,1.08531608
4.54402,1.08042703,1.0921831
4.80465,1.08649417,1.10190875
5.08023,1.13454506,1.15415719
5.37162,1.17965527,1.2069151
5.67972,1.19300917,1.23195476
6.00549,1.23135368,1.30653351
6.34995,1.26826257,1.35578837
6.71416,1.40041392,1.48145326
7.09927,1.4808449,1.61939579
7.50646,1.65653793,1.81300356
7.93701,1.85773547,2.1162116
8.39225,2.00366787,2.32134068
8.8736,2.26984587,2.76146795
9.38256,2.742535,3.43791395
9.92072,3.25058098,4.4791807
10.4897,3.71490356,4.54222798
11.0914,3.63663009,4.5817987
11.7276,3.0962223,4.5301244
12.4002,2.51512094,3.48100318
13.1115,2.13080867,2.76467086
13.8635,1.78733892,2.27968185
14.6587,1.5692985,1.95578857
15.4994,1.41363615,1.72427491
16.3884,1.27780783,1.54766129
17.3284,1.18545804,1.42184679
18.3223,1.12189905,1.32626836
19.3733,1.06325488,1.25192235
20.4844,1.02093311,1.19378168
21.6594,0.98859814,1.15086311
22.9017,0.96299138,1.1254
24.2153,0.94229491,1.11711016
25.6042,0.93483744,1.11492719
27.0727,0.92592614,1.10342806
28.6256,0.90845615,1.08029118
30.2674,0.88868493,1.05778433
32.0035,0.87333488,1.03271068
33.8391,0.86719318,1.00669123
35.78,0.86338947,0.97939193
37.8322,0.86247922,0.95522904
40.0022,0.84509027,0.94143147
42.2966,0.83826776,0.93293974
44.7226,0.83267313,0.92484675
47.2877,0.82614874,0.9180701
50.0,0.81870019,0.91261437
