values seperated by a comma,
F [Hz], THA [g], Direct [g] 
0.2,0.09031057,0.08953279
0.21147,0.09868006,0.09801516
0.2236,0.1098761,0.10912037
0.23643,0.11998495,0.11951599
0.24999,0.13115397,0.13088915
0.26432,0.14192406,0.14178298
0.27949,0.15233505,0.15119865
0.29552,0.16142576,0.16092542
0.31247,0.16978757,0.16873859
0.33039,0.17524397,0.17492286
0.34934,0.18564523,0.18554083
0.36938,0.19337164,0.19263405
0.39056,0.20511305,0.20458972
0.41296,0.21904867,0.21889038
0.43665,0.22810025,0.22774619
0.46169,0.23483395,0.23427717
0.48818,0.24749689,0.24705767
0.51618,0.26117612,0.26080763
0.54578,0.27433381,0.27337108
0.57709,0.28289586,0.28246917
0.61019,0.2948106,0.29370642
0.64519,0.31074061,0.31076303
0.68219,0.3257312,0.32536107
0.72132,0.34156836,0.34144083
0.76269,0.35773715,0.35762624
0.80644,0.37174152,0.37129721
0.85269,0.40005247,0.39950906
0.9016,0.41858995,0.41808309
0.95331,0.43567007,0.43465139
1.00799,0.45240958,0.45145068
1.06581,0.47524745,0.47492153
1.12694,0.49157296,0.490518
1.19158,0.52247594,0.52155229
1.25992,0.55084107,0.55004353
1.33219,0.58797913,0.58585844
1.4086,0.60052251,0.60088707
1.48939,0.62487726,0.62359407
1.57482,0.65819543,0.65904608
1.66514,0.68801484,0.68757769
1.76065,0.72699236,0.72882059
1.86164,0.76977736,0.77019152
1.96841,0.81033125,0.81326439
2.08132,0.85905627,0.85896689
2.20069,0.87813913,0.88290284
2.32692,0.94700812,0.95187161
2.46038,1.00468285,1.00750764
2.6015,1.01635456,1.02193816
2.75072,0.99608337,1.00421188
2.90849,1.01085743,1.02132368
3.07531,1.0321745,1.04514919
3.2517,1.0259081,1.04217556
3.43821,1.01607521,1.03299762
3.63542,1.05336419,1.0727868
3.84393,1.07015816,1.09644279
4.06441,1.12728042,1.14733957
4.29753,1.12225678,1.14656234
4.54402,1.13581699,1.16173252
4.80465,1.14791867,1.1810374
5.08023,1.20522443,1.24723842
5.37162,1.26009602,1.31611775
5.67972,1.28332657,1.35714914
6.00549,1.34095704,1.45487459
6.34995,1.39680843,1.52789508
6.71416,1.55948172,1.69014014
7.09927,1.66355523,1.87206232
7.50646,1.88742958,2.12498082
7.93701,2.13902255,2.51550966
8.39225,2.35859904,2.80387279
8.8736,2.73186693,3.38794609
9.38256,3.3428319,4.28446127
9.92072,4.03031479,5.66984371
10.4897,4.70382833,5.82782584
11.0914,4.66572886,5.99071585
11.7276,4.00673669,6.00139618
12.4002,3.29893961,4.68163436
13.1115,2.82606878,3.7750399
13.8635,2.3840747,3.15864697
14.6587,2.12428559,2.75498419
15.4994,1.92430162,2.47478248
16.3884,1.72554258,2.2651884
17.3284,1.62528475,2.14547784
18.3223,1.53904746,2.02605022
19.3733,1.4728535,1.91427575
20.4844,1.42004384,1.81951518
21.6594,1.36647211,1.73289738
22.9017,1.33534315,1.64246995
24.2153,1.31221173,1.54874108
25.6042,1.23317671,1.48977764
27.0727,1.18970733,1.46599124
28.6256,1.16253631,1.45298385
30.2674,1.13397056,1.44409287
32.0035,1.11922019,1.39291883
33.8391,1.10033542,1.33720398
35.78,1.08230022,1.29684896
37.8322,1.06087186,1.26708219
40.0022,1.04445673,1.24501888
42.2966,1.03338165,1.227933
44.7226,1.02485194,1.21385512
47.2877,1.01794514,1.2022893
50.0,1.01269676,1.19250577
